0.508326 0.752993 0.564103 0.578870 -0.053364 0.572801 -0.236460 0.809133 0.507071 0.556553 0.011219 9.235616 -0.005538 -0.019489 0.526520 0.896781 -0.049528 3.751001 0.322092 0.153156 0.284052 5 0.915355 -0.045371 -0.175828 6 1.096978 -0.681158 0.188631 2 1.078781 8 0.295376
0.550662 0.705952 1.007847 0.547095 -0.074708 1.494186 -0.237838 0.867888 0.526016 0.667913 -0.000656 2.090406 -0.040855 -0.030108 0.615221 0.535425 -0.026551 0.409301 0.476995 0.152525 0.185567 5 1.053844 -0.037177 -0.232809 2 1.093346 -0.682886 0.183078 3 0.916419 6 0.033724
0.635245 0.943048 0.530278 0.513732 0.015593 0.111397 -0.246421 0.856919 0.609802 0.593438 -0.064614 6.790322 -0.030732 -0.023460 0.515937 0.520928 0.090977 0.311899 0.514510 0.168619 0.125397 3 0.905357 -0.198773 -0.499799 3 1.057069 -0.680705 0.158678 3 0.957581 5 0.169856
0.645683 0.779894 0.531685 0.503450 0.051368 2.366688 -0.278348 0.846804 0.514045 0.700962 0.069211 12.438828 -0.011820 -0.017887 0.506097 0.540036 0.059994 6.024527 0.465780 0.190828 0.254883 2 0.984963 -0.090181 -0.122285 4 0.906226 -0.611518 0.144517 5 1.058452 7 0.559080
0.679752 0.792637 0.608554 0.562959 0.040415 0.091195 -0.294263 0.838802 0.526385 0.528510 -0.081827 0.489375 -0.055831 -0.036455 0.674500 0.892357 -0.016189 3.770056 0.476662 0.141872 0.127690 2 0.944212 -0.085746 -0.380088 4 0.998905 -0.697899 0.123880 5 1.054766 6 0.053034
0.609560 0.802575 0.519975 0.590842 0.017097 5.129383 -0.245681 0.858812 0.511398 0.673539 -0.058459 6.684657 -0.035109 -0.002797 0.683939 0.500738 0.036314 0.646369 0.405157 0.132934 0.247511 5 0.983001 0.047045 -0.211496 6 1.054793 -0.634202 0.135877 3 0.908948 7 0.310660
0.626043 0.754268 0.588272 0.548118 0.023658 0.487671 -0.227850 0.845249 0.670674 0.617789 -0.095334 14.540587 -0.038579 -0.029713 0.504976 0.500929 -0.059012 1.562483 0.546307 0.155957 0.209373 3 0.909979 -0.068262 -0.320099 3 1.014913 -0.669319 0.120081 7 0.983122 8 0.481423
0.617340 0.817584 0.507695 0.508199 0.021185 0.463423 -0.203385 0.828552 0.921874 0.537586 0.068914 6.333108 -0.005496 -0.017775 0.781916 0.933728 -0.021768 0.447158 0.540633 0.192429 0.277344 2 1.005334 -0.001379 -0.238036 4 1.030804 -0.692366 0.109298 3 1.059678 5 0.180100
0.551049 0.741506 0.515269 0.960041 0.064314 0.112637 -0.248295 0.846759 0.893942 0.507298 -0.087384 10.140607 -0.006053 -0.020169 0.665938 0.628495 -0.010537 1.338377 0.512058 0.148716 0.229932 4 0.961228 -0.039716 -0.357279 2 1.082156 -0.660588 0.172199 4 0.947812 5 0.279927
0.505236 0.954777 0.568976 0.501967 0.021501 0.283328 -0.204182 0.805612 0.528713 0.533713 0.094226 10.952873 -0.025562 -0.019189 0.633071 0.900028 -0.083865 5.786716 0.540957 0.175654 0.287650 2 0.951205 -0.161359 -0.262955 3 1.089677 -0.687748 0.159918 3 0.903399 5 0.486399
